specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,baseline_temp,correction,s_tensor,aniso_type,NLT_beta
KBW-08K1,KBW-08K1,KBW,8.510728523e-07,9.053314310193e-07,4.9999999974865486e-08,-2.0699999992268118e-07,-8.239999999736535e-07,1.1400000000515408e-07,-1.4999999974550298e-08,8.979999999950122e-07,3.6384778072424606e-08,5.431705787357561e-08,5.663551402e-05,T,683.0,683.0,1,,,
KBW-08K1,KBW-08K1,KBW,5.957323224000001e-07,1.1640146048069565e-06,7.19999999871623e-08,-1.6799999999958956e-07,-5.669999999595098e-07,4.99999996617513e-09,3.00000002626181e-09,1.1640000000876613e-06,2.5468546297201764e-08,3.8925005844738836e-08,5.663551402e-05,T,733.0,733.0,1,,,
KBW-08K1,KBW-08K1,KBW,3.638488697e-07,1.4216996870699066e-06,5.099999999266665e-08,-1.0699999998662084e-07,-3.439999999790388e-07,-3.299999999489751e-08,-2.999999994111329e-08,1.4210000000768966e-06,1.5555143534610706e-08,2.5581430824898005e-08,5.663551402e-05,T,773.0,773.0,1,,,
KBW-08K1,KBW-08K1,KBW,1.469226327e-07,2.0129839765370417e-06,3.0799999999227146e-08,-3.5900000004325636e-08,-1.3909999999725426e-07,6.320000003356954e-08,-1.9200000014568163e-08,2.01189999994783e-06,6.2811865872106306e-09,9.887580272442454e-09,5.663551402e-05,T,823.0,823.0,1,,,
KBW-08K2,KBW-08K2,KBW,1.212602573e-06,0.0,1.4300000000217174e-07,-5.599999999470246e-07,-1.0660000000492173e-06,0.0,0.0,0.0,5.18407741351663e-08,0.0,5.547169811e-05,ZI,273.0,,1,,,
KBW-08K2,KBW-08K2,KBW,1.212360095e-06,8.728688324167877e-08,1.460000000048567e-07,-5.510000000097189e-07,-1.0699999999702246e-06,-7.000000021113985e-09,1.0000000510521273e-09,8.699999991752162e-08,5.183040779790904e-08,7.329926565113119e-08,5.547169811e-05,ZI,423.0,,1,,,
KBW-08K2,KBW-08K2,KBW,1.1677298489e-06,1.520986522333206e-07,1.579999999673842e-07,-5.269999999620272e-07,-1.0300000000302654e-06,-3.900000001724753e-08,1.999999973692366e-09,1.4700000003385213e-07,4.992239064605447e-08,7.060092191773797e-08,5.547169811e-05,ZI,483.0,,1,,,
KBW-08K2,KBW-08K2,KBW,1.0608001697e-06,2.4902007957968347e-07,1.0199999999262574e-07,-4.769999999405952e-07,-9.420000000497481e-07,1.0000000277216203e-09,3.0000000062234182e-09,2.490000000678295e-07,4.5350969249480386e-08,6.413595577938034e-08,5.547169811e-05,ZI,543.0,,1,,,
KBW-08K2,KBW-08K2,KBW,9.613703761e-07,3.260521431104795e-07,1.0000000002898758e-07,-4.3199999998499984e-07,-8.530000000292017e-07,-4.999999992567391e-09,2.999999980107584e-09,3.2600000004161085e-07,4.1100180419656745e-08,5.812443256545969e-08,5.547169811e-05,ZI,593.0,,1,,,
KBW-08K2,KBW-08K2,KBW,8.895105395999999e-07,3.8253496571193573e-07,1.1600000001945025e-07,-3.979999999670885e-07,-7.87000000051568e-07,-3.400000000428062e-08,3.999999961919624e-09,3.8099999998982336e-07,3.8028053049705596e-08,5.377978837353719e-08,5.547169811e-05,ZI,623.0,,1,,,
